Station ID,Facility,Address,Phone
0311V,Fort Lauderdale Vet Center,"3666 W. Oakland Park Blvd.   Lauderdale Lakes, FL 33311",954-714-2381
0330V,Fort Myers Vet Center,"4110 Center Pointe Drive, Unit 204   Ft. Myers, FL 33916",239-652-1861 Or 877-927-8387
0331V,Gainesville Vet Center,"105 NW 75th Street, Suite #2   Gainesville, FL 32607",352-331-1408 Or 877-927-8387
0305V,Jacksonville Vet Center,"3728 Phillips Highway, Suite 31   Jacksonville, FL 32207",904-399-8351 Or 904-399-8351
0337V,Jupiter Vet Center,"6650 W. Indiantown Rd., Suite 120   Jupiter, FL 33458",561-422-1220 Or 561-422-1220
03101V,Key Largo Vet Center Outstation,"105662 Overseas Hwy.   Key Largo, FL 33037",305-451-0164 Or 877-927-8387
0340V,Lakeland Vet Center,"1370 Ariana St.   Lakeland, FL 33803",863-284-0841 Or 877-927-8387
0332V,Melbourne Vet Center,"2098 Sarno Road   Melbourne, FL 32935",321-254-3410 Or 877-927-8387
0310V,Miami Vet Center,"8280 NW 27th St Suite 511   Miami, FL 33122",305-718-3712 Or 305-718-3712
0348V,Naples Vet Center,"2705 Horseshoe Dr. South, Suite #204   Naples, FL 34104",239-403-2377 Or 877-927-8387
344,Ocala Vet Center,"3300 SW 34th Avenue, Suite 140   Ocala, FL 34474",352-237-1947 Or 877-927-8387
0314V,Orlando Vet Center,"5575 S. Semoran Blvd., Suite #30   Orlando, FL 32822",407-857-2800 Or 407-857-2800
0326V,Palm Beach Vet Center,"4996 10th Ave North, Suite 6   Greenacres, FL 33463",561-422-1201 Or 561-422-1201
0338V,Pasco County Vet Center,"5139 Deer Park Drive   New Port Richey, FL 34653",727-372-1854 Or 727-372-1854
0336V,Pompano Beach Vet Center,"2300 West Sample Road, Suite 102   Pompano, FL 33073",954-984-1669 Or 877-927-8387
0300V,RCS Southeast District 2 District Office,"450 Carillon Parkway, Suite 150   St. Petersburg, FL 33716",727-398-9343 Or 727-398-9343
0320V,Sarasota Vet Center,"4801 Swift Rd. Suite A   Sarasota, FL 34231",941-927-8285 Or 877-927-8387
0301V,St. Petersburg Vet Center,"6798 Crosswinds Drive, Bldg A   St. Petersburg, FL 33710",727-549-3633 Or 877-927-8387
0325V,Tallahassee Vet Center,"2002 Old St. Augustine Road   Tallahassee, FL 32301",850-942-8810
0318V,Tampa Vet Center,"Fountain Oaks Business Plaza; 3637 W. Waters Ave., Suite 600   Tampa, FL 33614-2783",813-228-2621 Or 877-927-8387
520BZ,Joint Ambulatory Care Center,"790 Veterans Way   Pensacola, FL 32507",850-912-2000
520GB,Panama City Outpatient Clinic,"2600 Veterans Way(along Magnolia Beach Road)   Panama City Beach, FL 32408",850-636-7000 Or 888-231-5047 X 7331
0744v,Bay County Vet Center,"3109 Minnesota Ave, Suite 101   Panama City, FL 32405",850-522-6102 Or 850-522-6102
0743V,Okaloosa County Vet Center,"6 11th Avenue, Suite G 1   Shalimar, FL 32579",850-651-1000 Or 850-651-1000
0742V,Pensacola Vet Center,"4504 Twin Oaks Drive   Pensacola, FL 32506",850-456-6113 Or 850-456-5886
317,St. Petersburg Regional Benefit Office,"9500 Bay Pines Boulevard   St. Petersburg, FL 33708",800-827-1000
,,"Mailing Address: P.O. Box 1437  St. Petersburg, FL 33731",
317,Intake Site At Corry Station,"VA Joint Ambulatory Care Center   Pensacola, FL 32507",
317,Intake Site At Eglin Air Force Base,"Airman & Family Readiness Support Center   Fort Walton Beach, FL 32542",
317,Intake Site At Hurlburt Field,"Airman & Family Readiness Center   Hulburt Field, FL 32544",
317,Intake Site At Key West Coast Guard,"NAS Key West & USCG Group Key West   Key West, FL 33040",
317,Intake Site At MacDill Air Force Base,"Base Hospital 2nd Floor, Room C 277   Tampa, FL 33621",
317,Intake Site At Mayport Naval Station,"Branch Medical Clinic   Mayport, FL 32228",
317,Intake Site At NAS Jacksonville,"Department of Veterans Affairs   Jacksonville, FL 32217",
317,Intake Site At NAS Key West,"NAS Key West & USCG Group Key West   Key West, FL 33040",
317,Intake Site At NAS Pensacola,"Fleet and Family Support Center   Pensacola, FL 32508",
317,Intake Site At NAS Whiting Field,"Fleet & Family Support Center   Milton, FL 32570",
317,Intake Site At Naval Hospital Pensacola,"6000 US-98   Pensacola, FL 32506",
317,Intake Site At Naval Support Activity-Panama City,"Fleet & Family Support Center   Panama City, FL 32407",
317,Intake Site At Patrick Air Force Base,"VA Office of Public Contact   Viera, FL 32940",
317,Intake Site At Tyndall Air Force Base,"325 FSS/FSFR   Tyndall AFB, FL 32403",
317,St. Petersburg Regional Loan Center,"9500 Bay Pines Boulevard   St. Petersburg, FL 33708",800-827-1000
828,Barrancas National Cemetery,"Naval Air Station, 1 Cemetery Road   Pensacola, FL 32508",850-453-4108
830,Bay Pines National Cemetery,"10000 Bay Pines Boulevard North   St. Petersburg, FL 33708",727-319-6479
934,Cape Canaveral National Cemetery,"5525 U.S. Highway 1, North   Mims, FL 32754",321-383-2638
911,Florida National Cemetery,"6502 S.W. 102nd Avenue   Bushnell, FL 33513",352-793-7740
928,Jacksonville National Cemetery,"4083 Lannie Road   Jacksonville, FL 32218",904-766-5222
931,Sarasota National Cemetery,"9810 State Road 72   Sarasota, FL 34241",877-861-9840 Or 941-922-7200
924,South Florida National Cemetery,"6501 S. State Road 7   Lake Worth, FL 33449",561-649-6489
875,St. Augustine National Cemetery,"104 Marine Street   St. Augustine, FL 32084",904-766-5222
937,Tallahassee National Cemetery,"5015 Apalachee Parkway   Tallahassee, FL 32311",850-402-8941
